"name","value"
"level","Eben"
"permission.CartManagement","Warenkorbverwaltung"
"permission.CartCreateOrder","Bestellung aufgeben"
"permission.OrderManagement","Auftragsverwaltung"
"viewOrderDetails","Bestelldetails anzeigen"
"permission.OrderExport","Bestellung exportieren  "
"permission.OrderList","Bestellhistorie anzeigen"
"edit","Aktualisieren"
"day","Tag"
"month","Monat"
"per","Pro"
"noProductsFound","Es wurden keine Produkte gefunden, die Ihrer Auswahl entsprechen"
"removeReferenceSuccess","Referenz erfolgreich entfernen"
"addReferenceSuccess","Referenz erfolgreich hinzugefügt"
"someItemInvalidReOrder","Die folgenden Produkte wurden nicht erfolgreich nachbestellt, weil:"
"createEmploySuccess","Neuer Mitarbeiter wurde erfolgreich angelegt"
"updateEmploySuccess","Der Mitarbeiter wurde erfolgreich aktualisiert"
"validatePassword","Das Passwort muss mindestens 7 Zeichen lang sein und Buchstaben, Ziffern und Sonderzeichen enthalten."
"updateYourPassword","AKTUALISIEREN SIE IHR PASSWORT"
"reoder","Neu bestellen"
"reason","Grund"
"yourOrderIs","Ihre Bestellnummer ist #{{orderId}}"
"shippingFee","Versandkosten"
"shippingCost","Versandkosten"
"hasBeenDeleted","wurde gelöscht"
"hasBeenAdded","wurde Ihrem Warenkorb hinzugefügt"
"handlingCost","Bearbeitungskosten"
"updateCartSuccessFully","Einkaufswagen erfolgreich aktualisieren"
"newPasswordRequired","Neues Passwort ist ein Pflichtfeld"
"confirmNewPasswordRequired","Neues Passwort bestätigen ist ein Pflichtfeld"
"missingInformationRequired","Fehlende Informationen erforderlich"
"Agent","Agent"
"emailRequired","E-Mail ist erforderlich"
"resetPasswordSuccess","Dein Passwort wurde aktualisiert"
"messagePasswordNotMatch","Passwörter stimmen nicht überein"
"currentPasswordRequired","Aktuelles Passwort ist ein Pflichtfeld"
"currenyNotAvailble","Diese Währung ist nicht mehr verfügbar"
"productOutOfStock","Produkt ist ausverkauft"
"messageEnoughStock","Wir haben nicht genügend {{product name}}-Lagerbestand für die von Ihnen ausgewählte Menge. Bitte versuche es erneut"
"messageWarningMultiplier","Die Menge sollte ein Vielfaches von {{amount}} sein"
"shopAll","Alle einkaufen"
"resetAllFilters","Alle Filter zurücksetzen"
"price","Preis"
"filter","Filter"
"show","Zeigen"
"sku","Artikelnummer"
"category","Kategorie"
"stock","Aktie"
"addToCart","In den Warenkorb legen"
"description","Beschreibung"
"backorder","Nachbestellung"
"additionalInformation","zusätzliche Information"
"variant","Variante"
"orderQuantity","Bestellmenge"
"couponCode","Gutscheincode"
"Senior","Senior"
"Junior","Junior"
"Owner","Eigentümer"
"messageSessionExpired","Ihre Anmeldesitzung ist abgelaufen. Bitte melden Sie sich erneut an, um fortzufahren"
"youDontHavePermissionToPerformThisAction","Sie sind nicht berechtigt, die Aktion auszuführen"
"account_not_exist","Ihr Konto existiert nicht in unserem System"
"createdBy","Erstellt von"
"assignee","Abtretungsempfänger"
"sentDate","Sendedatum"
"expirationDate","Verfallsdatum"
"actions","Aktionen"
"status","Status"
"quoteStatusCode.DRAFT","ENTWURF"
"quoteStatusCode.NEW","NEU"
"quoteStatusCode.IN_PROGRESS","IN BEARBEITUNG"
"quoteStatusCode.SENT","GESENDET"
"quoteStatusCode.PENDING_APPROVAL","AUSSTEHENDE GENEHMIGUNG"
"quoteStatusCode.SUBMITTED","ABGEGEBEN"
"quoteStatusCode.ORDERED","BESTELLT"
"quoteStatusCode.EXPIRED","ABGELAUFEN"
"quoteStatusCode.DECLINED","ZURÜCKGEGANGEN"
"quote","VERKAUFSQUOTE"
"createQuote","NEUES ANGEBOT ERSTELLEN"
"searchQuote","Angebot suchen"
"from","Aus"
"company","Gesellschaft"
"clearAll","Alles löschen"
"search","Suche"
"lastUpdate","Letztes Update"
"send","Senden"
"delete","Löschen"
"messageDeleteQuote1","Dieses Zitat wird gelöscht./nMöchten Sie fortfahren?"
"messageUpdateProductsQuote","Bitte aktualisieren Sie Ihre Angebotsproduktliste, bevor Sie fortfahren"
"quoteRequestSuccessSubTitle","Das Angebot wurde erfolgreich übermittelt"
"viewQuoteDetails","Angebotsdetails anzeigen"
"submitQuoteRequest","Angebotsanfrage senden"
"contentModalConfirmQuoteCheckout","Dieses Angebot wird als separate Bestellung von Ihrem aktuellen Warenkorb platziert, die Daten Ihres aktuellen Warenkorbs bleiben nach dem Bezahlvorgang erhalten. Möchten Sie fortfahren?"
"quoteID","Angebots-ID"
"quoteValidateCheckout","Das Auschecken des Angebots war nicht erfolgreich, weil"
"quoteList","Zitatliste"
"enterCustomerMessageHere","Geben Sie hier Ihre Kundennachricht ein"
"enterQuoteNote","Geben Sie hier Ihre Angebotsnotiz ein"
"companyInformation","Firmeninformation"
"ownerName","Besitzername"
"ownerEmail","E-Mail des Besitzers"
"phoneNumber","Telefonnummer"
"quoteInformation","Angebotsinformationen"
"quoteExpirationDate","Ablaufdatum des Angebots"
"customerMessage","Kundennachricht"
"message","Kundennachricht"
"quoteNote","Zitat Hinweis"
"shippingInformation","Versandinformationen"
"selectExistingAddress","Vorhandene Adresse auswählen"
"firstName","Vorname"
"lastName","Familienname, Nachname"
"address","Die Anschrift"
"city","Stadt"
"country","Land"
"postCode","Postleitzahl"
"postcodeZip","PLZ"
"billingInformation","Abrechnungsdaten"
"products","Produkte"
"item","Artikel"
"quantity","Menge"
"tradePrice","Handelspreis"
"quotedPrice","Kurspreis"
"lineTotal","Zeilensumme"
"tradePriceTotal","Handelspreis insgesamt"
"discount","Rabatt"
"quoteSubtotal","Zwischensumme zitieren"
"shippingMethod","Versandart"
"tax","Steuer"
"grandTotal","Gesamtsumme"
"productOptions","Produktoptionen"
"cancel","Absagen"
"save","Speichern"
"titleModalQuoteValidateSend","Warnung: Das Senden des Angebots war nicht erfolgreich"
"quoteValidateSend","Das Senden des Angebots war nicht erfolgreich, weil"
"quotesManagement","Angebotsverwaltung"
"checkout","Auschecken"
"decline","Ablehnen"
"backToOrderHistory","Zurück zum Bestellverlauf"
"yes","Ja"
"detailQuote","Angebotsdetails"
"validTill","Gültig bis"
"orderID","Auftragsnummer"
"thisProductCurrentlyIsNotPurchasable","Dieses Produkt ist derzeit nicht käuflich. Bitte versuchen Sie es später erneut"
"messageConfirmSendQuoteInQuoteListScreen","Möchten Sie das Angebot wirklich senden?"
"messageSendQuoteSuccess","Angebot erfolgreich senden"
"submit_quote_error","Ein Fehler ist aufgetreten. Bitte versuche es erneut"
"messageConfirmDelItemFromQuote","Möchten Sie diesen Artikel aus der Angebotsliste entfernen?"
"discountPerItem","Rabatt pro Artikel"
"orderTotalPercentage","Gesamtprozentsatz der Bestellung"
"orderFixedAmount","Festbetrag bestellen"
"assignedAgent","Zugewiesener Agent"
"messageConfirmDelItemFromQuoteRequest","Möchten Sie diesen Artikel aus dem Angebot entfernen?"
"quoteItems","Artikel zitieren"
"quoteConfirmation","Angebotsbestätigung"
"noProductInQuote","Dem Angebot wurden keine Produkte hinzugefügt"
"backToShop","Zurück zum Shop"
"addToQuote","Zum Angebot hinzufügen"
"subtotal","Zwischensumme"
"updateQuote","Angebot aktualisieren"
"add","Hinzufügen"
"textRemove","Entfernen"
"total","Gesamt"
"next","Nächste"
"billingAddress","Rechnungsadresse"
"shippingAddress","Lieferanschrift"
"hasBeenAddedToYourCart","{{entries}} artikel(en) zijn toegevoegd aan uw winkelwagen."
"viewQuote","Angebot anzeigen"
"sendQuote","Angebot senden"
"messageConfirmDeclineQuote","Dieses Angebot wird abgelehnt. Möchten Sie fortfahren?"
"messageDeclineQuoteSuccess","Dieses Angebot wurde erfolgreich abgelehnt"
"messageConfirmSendQuote","Möchten Sie wirklich ein Angebot senden? Daten im Produktbereich werden nicht aktualisiert."
"enterQuoteNoteHere","Angebotsnotiz hier eingeben"
"pleaseInputField","Bitte geben Sie {{fieldName}} ein"
"time","Zeit"
"pleaseSelectField","Bitte wählen Sie {{fieldName}}"
"txtCopyInformationFromShippingToBilling","Meine Rechnungsadresse ist die gleiche wie die Lieferadresse"
"permissionSeeInfomation","Sie sind leider nicht berechtigt, die Informationen anzuzeigen"
"enterMessageHere","Geben Sie hier eine Nachricht ein"
"discountAmount","Rabattbetrag"
"hasBeenAddedToQuote","wurde Ihrem Angebot hinzugefügt"
"Employee","Angestellter"
"aToZ","A bis Z"
"accountAddressDes","Die folgenden Adressen werden standardmäßig auf der Checkout-Seite verwendet"
"accountDetails","AKontodetails"
"accountPageDes","Hallo Editor (nicht Editor? Abmelden) In Ihrem Konto-Dashboard können Sie Ihre letzten Bestellungen anzeigen, Ihre Liefer- und Rechnungsadressen verwalten und Ihr Passwort und Ihre Kontodaten bearbeiten"
"action","Aktion"
"addAddress","Adresse hinzufügen"
"addLimit","Grenze hinzufügen"
"addNewLimit","Neues Limit hinzufügen"
"addToWishlist","Zur Wunschliste hinzufügen"
"addresses","Adressen"
"allCategories","Alle Kategorien"
"allow","Erlauben"
"anEmailWithALinkToResetYour","Eine E-Mail mit einem Link zum Zurücksetzen Ihres Passworts wurde an gesendet"
"andText","und"
"anyUnsavedChangesWillBeLost","Alle nicht gespeicherten Änderungen gehen verloren."
"apply","Sich bewerben"
"applyCoupon","Gutschein anwenden"
"applyCouponSuccess","Gutschein erfolgreich anwenden"
"areYouSureToDeleteThisLimit","Möchten Sie dieses Limit wirklich löschen?"
"asAB2BBuyer","Als B2B-Käufer"
"asAnAgent","als Agent"
"assignedAgents","Zugewiesene Agenten"
"attributes","Attribute"
"autoGenerate","Automatisch generieren"
"backToCompanyOrderHistory","Zurück zur Auftragshistorie des Unternehmens"
"backToHome","Zurück nach Hause"
"backToLogin","Zurück zur Anmeldung"
"bestReviewed","Am besten bewertet"
"bestSelling","Meistverkauft"
"billingDetails","Rechnungsdetails"
"brands","Marken"
"bulkOrder","SAMMELBESTELLUNG"
"bulkOrderViaCSV","Sammelbestellung per CSV"
"callNow","RUF UNS JETZT AN"
"cartTotals","Einkaufswagen-Gesamtsummen"
"categories","Kategorien"
"clickToLogin","Klicken Sie hier, um sich einzuloggen"
"companyAddressBook","Firmenadressbuch"
"companyAvailableLimit","Verfügbarkeitslimit des Unternehmens"
"companyEmployees","Firmenangestellte"
"companyName","Name der Firma"
"companyOrderHistory","Auftragshistorie des Unternehmens"
"confirmNewPassword","Bestätige neues Passwort"
"countryRegion","Region"
"couponCodeMessage","Der Gutschein gilt nicht für die ausgewählte Währung"
"create","Schaffen"
"createEmployee","Mitarbeiter anlegen"
"currentLimitPeriod","Strombegrenzungszeitraum"
"currentPassword","Jetziges Passwort"
"customerReference","Kundenreferenz"
"dailyLimit","Tägliches Limit"
"dashboard","Armaturenbrett"
"dashboardMessageAccount","Hallo <0>{{fullName}}</0> (Nicht <1>{{fullName}}?</1> <2>Ausloggen</2>)"
"date","Datum"
"defaultBilling","Standardabrechnung"
"defaultShipping","Standardversand"
"defaultSorting","Standard-Sortierung"
"disabled","Deaktiviert"
"discard","Verwerfen"
"discountCoupon","Coupon-Rabatt"
"doYouWantToProcess","Möchten Sie verarbeiten?"
"editAccountSuccess","Kontoerfolg bearbeiten"
"editEmployee","Mitarbeiter bearbeiten"
"editRole","Rolle bearbeiten"
"editYourPasswordAndAccountDetails","Bearbeiten Sie Ihr Passwort und Ihre Kontodaten"
"email","Email"
"emailAddress","E-mail"
"emailAlreadyExisted","Die eingegebene E-Mail-Adresse existiert bereits im System."
"enabled","Ermöglichen"
"enterCustomerReference","Geben Sie Ihre Kundenreferenz ein"
"exclTax","Exkl. Steuer"
"exportCSV","CSV-Datei exportieren"
"featuredItems","Top-Artikel"
"fieldIsRequired","{{fieldName}} ist erforderlich"
"firstNameRequired","Vorname ist erforderlich"
"forceLogoutMes","Ihre Anmeldesitzung ist abgelaufen. Bitte melden Sie sich erneut an, um fortzufahren"
"forgotPassword","Passwort vergessen"
"freeReturnStandard","KOSTENLOSE Rücksendungen. Bestellungen mit Standardversand ab 99 USD"
"fromYourAccountDashboardYouCanViewYour","Von Ihrem Konto-Dashboard aus können Sie Ihre anzeigen"
"fullName","Vollständiger Name"
"goShop","Gehen Sie einkaufen"
"grandTotalInclTax","Gesamtsumme (inkl. Steuern)"
"handling","Handhabung"
"hi","Hi, {{fullName}}"
"ifYouWouldLikeToChangeCurrentLimit","Wenn Sie das aktuelle Limit ändern möchten, wählen Sie bitte heute/diesen Monat als Start"
"importCSV.descFail1","In der hochgeladenen CSV-Datei wurden Fehler gefunden."
"importCSV.descFail2","Bitte beheben Sie die Fehler und laden Sie die CSV-Datei erneut hoch"
"importCSV.descRule1","Die maximale Datei-Upload-Größe beträgt 5 MB."
"notAuthorized","Sie sind leider nicht berechtigt, diese Aktion auszuführen"
"importCSV.descRule2","Nur CSV UTF-8 wird unterstützt."
"importCSV.descRule3","Es werden nur die ersten 500 Zeilen importiert."
"importCSV.descRule4","Die CSV-Datei muss den Produktcode (SKU) und die Menge enthalten."
"importCSV.errEmpty","Die hochgeladene Datei ist leer"
"importCSV.errFormat","Die hochgeladene Datei hat ein falsches Format oder ungültige Daten"
"importCSV.errFormatCSV","Die hochgeladene Datei muss CSV sein"
"importCSV.lblBtnDownloadError","Fehlerprotokoll herunterladen"
"importCSV.lblBtnImportFile","Datei importieren"
"importCSV.lblDownloadCSV1","Laden Sie ein"
"importCSV.lblDownloadCSV2","Beispiel-CSV-Vorlage"
"importCSV.lblDownloadCSV3","um ein Beispiel für das erforderliche Format zu sehen."
"importCSV.noFile","Keine Datei ausgewählt"
"importCSV.titleFile","Datei wählen"
"importCSV.titleMsgImportFail","CSV-Import fehlgeschlage"
"importCSV.titleMsgImportSuccess","CSV erfolgreich importieren"
"importCSV.warning","Warnung:"
"importCSV.warningClearCartCSV","Ihr aktueller Warenkorb wird nach dem Import gelöscht"
"inStock","Auf Lager"
"inclTax","Inkl. Steuer"
"isCreatedSuccessFully","wurde erfolgreich erstellt"
"isDeletedSuccessFully","erfolgreich gelöscht"
"isDisabled","ist deaktiviert"
"isEnabled","aktiviert"
"isRequired","(Erforderlich *)"
"isUpdatedSuccessFully","iwurde erfolgreich aktualisiert"
"lastNameRequired","Nachname ist erforderlich"
"leaveBlank","Leer lassen, um unverändert zu lassen"
"loadMore","Mehr laden"
"loading","Wird geladen"
"logInAsAB2BBuyer","Melden Sie sich als B2B-Käufer an"
"login","Anmeldung"
"loginAsAgentSuccessful","Anmeldung als Agent erfolgreich"
"loginAsAnAgent","Melden Sie sich als Agent an"
"loginAsCompanySuccessful","Anmeldung als Firmeninhaber erfolgreich"
"loginSuccessFull","Anmeldung erfolgreich"
"logout","Ausloggen"
"lowStock","Geringer Bestand"
"manageYour","Verwalte Dein"
"messageCheckoutCartNotAvailable","Die Kasse ist nicht verfügbar, solange Ihr Einkaufswagen leer ist."
"messageChoseACompany","Da Sie kein Unternehmen ausgewählt haben, werden Ihre ausgewählten Artikel nicht in den Warenkorb gelegt. Möchten Sie ein Unternehmen auswählen, bei dem Sie einkaufen möchten?"
"messageConfirmCancelUpdateQuote","Möchten Sie die Angebotsaktualisierung wirklich abbrechen? Der Vorgang wird nicht gespeichert."
"messageConfirmDelItemFromCart","Sind Sie sicher, dass Sie diesen Artikel aus dem Warenkorb entfernen möchten?"
"messageConfirmDeleteAddress","Möchten Sie diese Adresse löschen?"
"messageConfirmPasswordNotMatch","Passwort bestätigen stimmt nicht mit eingegebenem Passwort überein!"
"messageConfirmSaveDraftQuote","Möchten Sie den Entwurf wirklich speichern? Daten im Produktabschnitt werden nicht aktualisiert."
"messageEmailNotInValidForm","Email is not in valid form"
"messageEnableOrderLimitSuccess","Bestelllimit für {{role}} {{status}}"
"messageLostPassword","Passwort vergessen? Bitte geben Sie Ihren Benutzernamen oder Ihre E-Mail-Adresse ein. Sie erhalten per E-Mail einen Link zum Erstellen eines neuen Passworts."
"messageOrderLimitSuccess","Bestelllimit für {{role}} iwurde erfolgreich aktualisiert"
"messagePasswordValidate","Passwörter müssen mindestens 7 Zeichen lang sein und sowohl alphabetische als auch numerische und Sonderzeichen enthalten"
"messageSubtotalCannotBeMoreThan","Die Zwischensumme darf nicht größer sein als"
"messageUserAccessStore","Wenn aktiviert, kann dieser Benutzer auf den Store zugreifen. Willst du fortfahren?"
"messageUserDeleteCannotContinueAccess","Wenn er gelöscht wird, kann dieser Benutzer nicht mehr auf Ihren Shop zugreifen. Willst du fortfahren?"
"messageValidateMaximumCharacters","{{fieldName}} must be maximum {{value}} characters."
"messageWarningBackorder","We don't have enough {{productName}} on hand for the quantity you selected. Any balance will be put on backorder."
"messageWarningMaxOrder","Die maximale Einkaufsmenge beträgt {{quantity}}"
"messageWarningMinOrder","Die Mindestabnahmemenge beträgt {{quantity}}"
"messageYouDontHavePermission","Sie sind nicht berechtigt, die Aktion auszuführen"
"monthlyLimit","Monatliches Limit"
"multipleStorefront.message","Bitte klicken Sie auf die Store-URL, um auf die Storefront zuzugreifen"
"multipleStorefront.storeName","Geschäftsname"
"variant_not_found","Die Produktvariante ist nicht mehr im Store verfügbar"
"messageQuoteFeatureNoLongerSupported","Das Funktionszitat wird in Ihrem Shop nicht mehr unterstützt"
"multipleStorefront.storeURL","URL speichern"
"multipleStorefront.title","Mehrere Storefront-Informationen"
"multipleStorefronts","Zugriff auf mehrere Storefronts"
"myAccount","Mein Konto"
"myAvailableLimit","Mein verfügbares Limit"
"myWishlist","Meine Wunschliste"
"newLimitPeriod","Neue Begrenzungsperiode"
"newPassword","Neues Passwort"
"newestItems","Neueste Artikel"
"no","Nein"
"noCompanyFound","Kein Unternehmen gefunden"
"noOrderHasBeenMadeYet","Es wurde noch keine Bestellung aufgegeben"
"noProductInCart","Keine Produkte zum Warenkorb hinzugefügt"
"notFoundSomeLink","Hier sind einige nützliche Links"
"notFoundSorry","Es tut uns leid, aber die Seite, nach der Sie gesucht haben, existiert nicht"
"noteAboutOrder","Hinweise zu Ihrer Bestellung, z.B. besondere Hinweise für die Lieferung"
"of","von"
"ofNewPeriod","der neuen Periode:"
"ok","OK"
"onHandForTheQuantityYou","für die von Ihnen gewählte Menge zur Verfügung. Jeder Restbetrag wird in Rückstand gesetzt."
"onHandForTheQuantityYouPleaseTryAgain","für die von Ihnen gewählte Menge zur Verfügung. Bitte versuche es erneut"
"order","Befehl"
"orderBy","Sortieren nach"
"orderedBy","Sortieren nach"
"orderComplete","Bestellung ausgeführt"
"orderDate","Bestelldatum"
"orderLimit","Bestelllimit"
"orderLimitFor","Bestelllimit für"
"orderLimitMessageAddCurrencyDefault","Bitte beachten Sie, dass die Währung, in der Sie Ihr Bestelllimit hinzufügen, die aktuelle Standardwährung Ihres Shops ist. Die Anzeige des Orderlimits wird basierend auf dem Kurs der Standardwährung umgerechnet."
"orderNote","Bestellhinweis"
"orderStatus","Bestellstatus"
"orderSummary","Bestellübersicht"
"orders","Aufträge"
"outOfStock","Ausverkauft"
"ownerAccount","Konto des Eigentümers"
"page","Seite"
"password","Passwort"
"passwordChange","Passwortänderung"
"paymentMethod","Zahlungsmethode"
"permission.AuthAdmin","Zugriff auf B2B-Admin zulassen"
"permission.AuthStoreFront","Zugriff auf B2B-Storefronts zulassen"
"permission.CartImportCsv","WarenkorbImportCsv"
"permission.AgentAssign","AgentZuweisung"
"permission.AgentCreate","AgentErstellen"
"permission.AgentDelete","AgentLöschen"
"permission.AgentDisable","AgentDeaktivieren"
"permission.AgentList","Agentenliste"
"permission.AgentManagement","Agentenverwaltung"
"permission.AgentUpdate","AgentUpdate"
"permission.ChangeAgentRolePermission","ChangeAgentRolePermission"
"permission.ChangeCompanyPermission","ChangeCompanyPermission"
"permission.ChangeEmployeeRolePermission","Mitarbeiterberechtigung einrichten"
"permission.ChangeOwnerRolePermission","ChangeOwnerRolePermission"
"permission.CompanyCreate","UnternehmenErstellen"
"permission.CompanyDelete","UnternehmenLöschen"
"permission.CompanyEdit","Firmeninformationen bearbeiten"
"permission.CompanyManagement","Firmenmanagement"
"permission.CompanyOwnerAgentList","Liste der zugewiesenen Agenten anzeigen"
"permission.CompanyOwnerDisable","UnternehmenEigentümerDeaktivieren"
"permission.CompanyOwnerUpdate","Eigentümerinformationen bearbeiten"
"permission.CompanyView","Unternehmensansicht"
"permission.EditCart","Einkaufswagen bearbeiten"
"permission.EditProfile","Profil bearbeiten"
"permission.EmployeeCreate","Mitarbeiter anlegen"
"permission.EmployeeDelete","Mitarbeiter löschen"
"permission.EmployeeDisable","Mitarbeiter deaktivieren"
"permission.EmployeeEdit","Mitarbeiterinformationen bearbeiten"
"permission.EmployeeManagement","Mitarbeiterverwaltung"
"permission.EmployeeView","Mitarbeiter anzeigen"
"permission.EnableQuoteFeature","Angebotsfunktion aktivieren"
"permission.FilterProduct","FilterProdukt"
"permission.PermissionManagement","Berechtigungsverwaltung"
"permission.QuoteAgentEnable","Angebotsfunktion aktivieren"
"permission.QuoteCreateRequest","Angebotsanfrage erstellen"
"permission.QuoteSend","Angebotsanfrage senden"
"permission.QuoteDecline","Angebot ablehnen"
"permission.QuoteViewCompany","Firmenangebot anzeigen"
"permission.SearchProduct","Produkt suchen"
"permission.StoreCreate","StoreCreate"
"permission.StoreDelete","StoreLöschen"
"permission.StoreDisable","StoreDisable"
"permission.StoreEdit","StoreBearbeiten"
"permission.StoreImportData","StoreImportData"
"permission.StoresSynchronizationSetting","StoresSynchronizationSetting"
"permission.ViewCart","Warenkorb ansehen"
"permission.ViewProductDetail","Produktdetails anzeigen"
"permission.ViewProductList","Produktliste anzeigen"
"permission.ViewStockNumber","Bestandsnummer anzeigen"
"permissionsUserHaveBeenUpdated","Benutzerberechtigungen wurden erfolgreich aktualisiert."
"phone","Telefon"
"phoneNumberRequired","Telefonnummer ist erforderlich"
"placeholderProductSearch","Suchen Sie das Produkt nach Schlüsselwörtern oder SKU"
"pleaseCreateALimitBeforeYouEnable","Bitte erstellen Sie ein Limit, bevor Sie diese Schaltfläche aktivieren."
"pleaseInputYourEmail","Bitte geben Sie Ihre E-Mail ein"
"pleaseInputYourPassword","Bitte geben Sie Ihr Passwort ein"
"pleaseSelectAStore","Bitte wählen Sie einen Shop aus"
"prev","Vorher"
"priceRRP","Preis (UVP)"
"priceTrade","Preis (Handel)"
"proceedToCheckout","Zur Kasse"
"product","Produkt"
"productList","PRODUKTLISTE"
"productName","Produktname"
"productSKUEANName","Produkt SKU/ EAN/ Name"
"quickOrder","SCHNELLE BESTELLUNG"
"recentOrders","letzte Bestellungen"
"registerNow","Jetzt registrieren"
"removeCouponSuccess","Coupon erfolgreich entfernen"
"removeProduct","Produkt entfernen"
"requiredField","Pflichtfeld"
"resetPassword","Passwort zurücksetzen"
"reviews","Beoordelingen"
"role","Rolle"
"roles","Rollen"
"saveChanges","Änderungen speichern"
"searchByFullNameOrEmail","Suche nach vollständigem Namen oder E-Mail"
"searchByNamePhoneEmail","Search by name, phone or email"
"searchOrder","Suchauftrag"
"searchResultsFor","Suchergebnis für"
"selectABuyerThatYouWouldLikeToShopFor","Wählen Sie einen Käufer aus, bei dem Sie einkaufen möchten"
"selectAnOption","Wähle eine Option"
"selectLevel","Stufe auswählen"
"selectThePermissionThatYouWantToAssignToThisRole","Wählen Sie die Berechtigung aus, die Sie dieser Rolle zuweisen möchten"
"shipToDifferent","Verschicken an andere Adresse"
"shipping","Versand"
"shippingAndBillingAddresses","Liefer- und Rechnungsadressen"
"shippingDetail","Versanddetails"
"shoppingCart","Einkaufswagen"
"size","Größe"
"somethingWrong","Irgendwas stimmt nicht"
"sortBy","Sortieren nach"
"sortPriceHeightToLow","Nach Preis sortieren: Hoch bis Niedrig"
"sortPriceLowToHeight","Nach Preis sortieren: Niedrig bis Hoch"
"standardOrder","Standard"
"state","Bundesland"
"stateDate","Anfangsdatum"
"street","Straße"
"switchB2BBuyerProfile","Wechseln Sie das B2B-Käuferprofil"
"theEnterAValidEmailAddress","Bitte geben Sie eine gültige E-Mail-Adresse ein!"
"thereAreNoReviewsYet","Es gibt noch keine Bewertungen."
"thisFieldIsRequired","Dieses Feld ist erforderlich!"
"thisMonth","Diesen Monat"
"timeCreated","Zeit erstellt"
"titleModalQuoteValidateCheckout","Warnung: Der Checkout ist nicht erfolgreich"
"today","Heute"
"townCity","Ort"
"untracked","Unverfolgt"
"updateCart","Einkaufswagen aktualisieren"
"updateSuccess","Erfolg aktualisieren"
"updateTotals","Summen aktualisieren"
"useStorefrontAsAB2BBuyer","Verwenden Sie Storefront als B2B-Käufer"
"userId","Benutzer-ID"
"userPermissions","Benutzerberechtigungen"
"userStatus","Benutzerstatus"
"permission.OrderDetails","Bestell Details ansehen"
"youCanOnlySetOneNewLimit","Sie können jeweils nur einen neuen Begrenzungszeitraum festlegen. Die neue Verjährungsfrist überschreibt die bestehende neue Verjährungsfrist."
"youHaveNotSetUpAddressYet","Sie haben noch keine Adresse eingerichtet."
"yourOrder","Deine Bestellung"
"yourOrderMess","Sie erhalten eine Bestellbestätigungs-E-Mail mit Details zu Ihrer Bestellung und einem Link, um den Fortschritt zu verfolgen"
"zToA","Z bis A"
"validateSendQuoteMessage","Die Angebotsanfrage muss ausgefüllt und mit gültigen Informationen gesendet werden. Bitte überprüfen Sie die Informationen erneut"
"warningReordering","Warnung Neuordnung"
"continue","Weitermachen"
"allItemInvalidReOrder","Alle Produkte wurden nicht erfolgreich nachbestellt, weil:"
"messageInformReorderFromQuote","Dieser Auftrag wird nicht mit dem vorherigen Kurspreis verrechnet. Möchten Sie fortfahren?"
"submit","Einreichen"
"sendDate","Sende Datum"
"myProfile","Mein Profil"
"store","Speichern"
"companies","Firmen"
"back","Zurück"
"backToQuoteList","Zurück zur Angebotsliste"
"confirmRequest","Anfrage bestätigen"
"goToWishlist","Gehen Sie zur Wunschliste"
"messageDeleteQuote2","Möchten Sie fortfahren?"
"to","zu"
"updateFail","Herbst aktualisieren"
"weDontHaveEnough","Wir haben nicht genug"
"searchCompany","Firma suchen"
"billingToDifferent","Rechnungsstellung an andere Adresse"
"ThereIsNoBillingAddress","Es gibt keine Rechnungsadresse"
"ThereIsNoShippingAddress","Es gibt keine Lieferadresse"
"orderDetail","Bestelldetails"
"backToOrderOverview","Zurück zur Bestellübersicht"
"messageConfirmCancelCreateQuote","Möchten Sie die Angebotserstellung wirklich abbrechen? Der Vorgang wird nicht gespeichert."
"errorMessagePostcodeNotAvailableForShipping","Das Geschäft kann nicht an die ausgewählte Postleitzahl liefern. Bitte aktualisieren Sie Ihre Lieferadresse"
"errorMessageCountryNotAvailableForShipping","Das Geschäft kann nur an Adressen innerhalb der Versandzone versenden. Bitte aktualisieren Sie Ihre Lieferadresse"
"tierPricingPercentage","Kaufen Sie {{range}} und erhalten Sie {{numberOff}} % Rabatt"
"tierPricingPercentageMax","Kaufen Sie {{minQuantity}} oder mehr und erhalten Sie {{numberOff}} % Rabatt"
"tierPricingFixedAmount","Kaufen Sie {{range}} und zahlen Sie jeweils nur {{currencyAmount}}"
"tierPricingFixedAmountMax","Kaufen Sie {{min}} oder mehr und zahlen Sie jeweils nur {{currencyAmount}}"
"tierPricingAmountOff","Kaufen Sie {{range}} und erhalten Sie {{currencyAmount}} Rabatt"
"tierPricingAmountOffMax","Kaufen Sie {{min}} oder mehr und erhalten Sie {{currencyAmount}} Rabatt"
"tierPricing","Staffelpreise"
"viewMore","Mehr sehen"
"collapse","Zusammenbruch"
"quotes","Zitatliste"
"viewCart","Warenkorb ansehen"
"quoteMessageLabel","Kundennachricht"
"quoteTotals","Angebotssummen"
"placeOrder","Bestellung aufgeben"
"userOrEmail","Email"
"permission.QuoteManagement","Angebotsverwaltung"
"backToQuotes","Zurück zur Angebotsliste"
"viewDetail","Details anzeigen"
"importCSV.titleModal","Sammelbestellung per CSV"
"address1","Address 1"
"address2","Address 2"
"enterYourCustomReference","Geben Sie Ihre benutzerdefinierte Referenz ein."